"","Sample","Prep_library","N_primer","S_primer","Library","Stage","Individual","Sample.1","Type","Sorting_date","Plate","ERCC","Library_date","Seq_type","Bases","Reads","groups"
"P2272_1004","P2272_1004","S48","N703","S504","L234","P2","m1","single","cell","2/5/2015","1-1/G1",1410014,"5/20/2015","pair-end","125bp","150M","adult"
"P2272_1006","P2272_1006","S50","N701","S502","L239","P2","m1","single","cell","2/5/2015","1-1/D2",1410014,"5/20/2015","pair-end","125bp","150M","adult"
"P2272_1009","P2272_1009","S53","N702","S517","L246","P2","m1","single","cell","2/5/2015","1-1/C3",1410014,"5/20/2015","pair-end","125bp","150M","adult"
"P2272_1010","P2272_1010","S54","N702","S502","L253","P21","m1","single","cell","1/15/2015","2-1/B1",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1012","P2272_1012","S56","N702","S504","L257","P21","m1","single","cell","1/15/2015","2-1/F1",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1013","P2272_1013","S57","N704","S517","L259","P21","m1","single","cell","1/15/2015","2-1/H1",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1014","P2272_1014","S58","N704","S502","L265","P21","m1","single","cell","1/15/2015","2-1/F2",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1015","P2272_1015","S59","N704","S503","L267","P21","m1","single","cell","1/15/2015","2-1/H2",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1016","P2272_1016","S60","N704","S504","L269","P21","m1","single","cell","1/15/2015","2-1/B3",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1017","P2272_1017","S61","N705","S517","L270","P21","m1","single","cell","1/15/2015","2-1/C3",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1018","P2272_1018","S62","N705","S502","L274","P21","m1","single","cell","1/15/2015","2-1/G3",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1020","P2272_1020","S64","N705","S504","L279","E19.5","m1","single","cell","5/12/2015","1-1/D1",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1021","P2272_1021","S65","N706","S517","L281","E19.5","m1","single","cell","5/12/2015","1-1/F1",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1022","P2272_1022","S66","N706","S502","L282","E19.5","m1","single","cell","5/12/2015","1-1/G1",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1023","P2272_1023","S67","N706","S503","L284","E19.5","m1","single","cell","5/12/2015","1-1/A2",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1024","P2272_1024","S68","N706","S504","L285","E19.5","m1","single","cell","5/12/2015","1-1/B2",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1025","P2272_1025","S69","N701","S517","L289","E19.5","m1","single","cell","5/12/2015","1-1/F2",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1027","P2272_1027","S71","N701","S503","L294","E19.5","m1","single","cell","5/12/2015","1-1/C3",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1029","P2272_1029","S73","N702","S517","L298","E19.5","m1","single","cell","5/12/2015","1-1/G3",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1031","P2272_1031","S75","N702","S503","L305","P2","m2","single","cell","5/12/2015","1-1/F1",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1035","P2272_1035","S79","N703","S503","L317","P2","m2","single","cell","5/12/2015","1-1/B3",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1036","P2272_1036","S80","N703","S504","L318","P2","m2","single","cell","5/12/2015","1-1/C3",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1037","P2272_1037","S81","N704","S517","L321","P2","m2","single","cell","5/12/2015","1-1/F3",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1038","P2272_1038","S82","N704","S502","L322","P2","m2","single","cell","5/12/2015","1-1/G3",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1041","P2272_1041","S85","N705","S517","L330","P21","m1","single","cell","3/12/2015","1-1/G1",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1043","P2272_1043","S87","N705","S503","L337","P21","m1","single","cell","3/12/2015","1-1/F2",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1045","P2272_1045","S89","N706","S517","L341","P21","m1","single","cell","3/12/2015","1-1/B3",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1046","P2272_1046","S90","N706","S502","L344","P21","m1","single","cell","3/12/2015","1-1/E3",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1047","P2272_1047","S91","N706","S503","L346","P21","m1","single","cell","3/12/2015","1-1/G3",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2661_1001","P2661_1001","S93","N701","S517","L276","E19.5","m1","single","cell","5/12/2015","1-1/A1",1410014,"6/1/2015","single-end","50bp","150M","adult"
"P2661_1003","P2661_1003","S71","N701","S503","L406","E19.5","m1","single","cell","5/12/2015","1-2/C2",1410014,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1004","P2661_1004","S96","N701","S504","L407","E19.5","m1","single","cell","5/12/2015","1-2/D2",1410014,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1006","P2661_1006","S98","N702","S502","L410","E19.5","m1","single","cell","5/12/2015","1-2/G2",1410014,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1009","P2661_1009","S101","N703","S517","L413","E19.5","m1","single","cell","5/12/2015","1-2/B3",1410014,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1010","P2661_1010","S102","N703","S502","L417","E19.5","m1","single","cell","5/12/2015","1-2/F3",1410014,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1011","P2661_1011","S103","N703","S503","L418","E19.5","m1","single","cell","5/12/2015","1-2/G3",1410014,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1013","P2661_1013","S105","N704","S517","L248","P2","m1","single","cell","2/5/2015","1-1/E3",1410014,"5/20/2015","single-end","50bp","150M","adult"
"P2661_1019","P2661_1019","S111","N705","S503","L495","P2","m1","single","cell","2/5/2015","1-2/D1",1410014,"7/27/2015","single-end","50bp","150M","adult"
"P2661_1020","P2661_1020","S112","N705","S504","L497","P2","m1","single","cell","2/5/2015","1-2/F1",1410014,"7/27/2015","single-end","50bp","150M","adult"
"P2661_1022","P2661_1022","S114","N706","S502","L509","P2","m1","single","cell","2/5/2015","1-2/B3",1410014,"7/27/2015","single-end","50bp","150M","adult"
"P2661_1023","P2661_1023","S115","N706","S503","L511","P2","m1","single","cell","2/5/2015","1-2/D3",1410014,"7/27/2015","single-end","50bp","150M","adult"
"P2661_1024","P2661_1024","S116","N706","S504","L513","P2","m1","single","cell","2/5/2015","1-2/F3",1410014,"7/27/2015","single-end","50bp","150M","adult"
"P2661_1025","P2661_1025","S117","N701","S517","L430","P60","m1","single","cell","1/15/2015","1-1/C2",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1026","P2661_1026","S118","N701","S502","L431","P60","m1","single","cell","1/15/2015","1-1/D2",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1027","P2661_1027","S119","N701","S503","L432","P60","m1","single","cell","1/15/2015","1-1/E2",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1028","P2661_1028","S120","N701","S504","L433","P60","m1","single","cell","1/15/2015","1-1/F2",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1029","P2661_1029","S121","N702","S517","L435","P60","m1","single","cell","1/15/2015","1-1/H2",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1030","P2661_1030","S122","N702","S502","L436","P60","m1","single","cell","1/15/2015","1-1/A3",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1031","P2661_1031","S123","N702","S503","L438","P60","m1","single","cell","1/15/2015","1-1/C3",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1032","P2661_1032","S124","N702","S504","L439","P60","m1","single","cell","1/15/2015","1-1/D3",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1033","P2661_1033","S125","N703","S517","L440","P60","m1","single","cell","1/15/2015","1-1/E3",1310010,"6/22/2015","single-end","50bp","150M","adult"
"P2661_1037","P2661_1037","S129","N704","S517","L447","E19.5","m1","single","cell","6/23/2015","1-1/D1",1410014,"6/25/2015","single-end","50bp","150M","adult"
"P2661_1043","P2661_1043","S135","N705","S503","L458","E19.5","m1","single","cell","6/23/2015","1-1/G2",1410014,"6/25/2015","single-end","50bp","150M","adult"
"P2661_1046","P2661_1046","S138","N706","S502","L465","E19.5","m1","single","cell","6/23/2015","1-1/F3",1410014,"6/25/2015","single-end","50bp","150M","adult"
"P2661_1047","P2661_1047","S139","N706","S503","L466","E19.5","m1","single","cell","6/23/2015","1-1/G3",1410014,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1001","P3504_1001","S141","N701","S517","L348","P2","m2","single","cell","5/12/2015","1-2/A1",1410014,"6/16/2015","single-end","50bp","150M","adult"
"P3504_1002","P3504_1002","S142","N701","S502","L350","P2","m2","single","cell","5/12/2015","1-2/C1",1410014,"6/16/2015","single-end","50bp","150M","adult"
"P3504_1003","P3504_1003","S143","N701","S503","L352","P2","m2","single","cell","5/12/2015","1-2/E1",1410014,"6/16/2015","single-end","50bp","150M","adult"
"P3504_1004","P3504_1004","S144","N701","S504","L353","P2","m2","single","cell","5/12/2015","1-2/F1",1410014,"6/16/2015","single-end","50bp","150M","adult"
"P3504_1005","P3504_1005","S145","N701","S505","L360","P2","m2","single","cell","5/12/2015","1-2/E2",1410014,"6/16/2015","single-end","50bp","150M","adult"
"P3504_1006","P3504_1006","S146","N701","S506","L364","P2","m2","single","cell","5/12/2015","1-2/A3",1410014,"6/16/2015","single-end","50bp","150M","adult"
"P3504_1007","P3504_1007","S147","N701","S507","L366","P2","m2","single","cell","5/12/2015","1-2/C3",1410014,"6/16/2015","single-end","50bp","150M","adult"
"P3504_1008","P3504_1008","S148","N701","S508","L369","P2","m2","single","cell","5/12/2015","1-2/F3",1410014,"6/16/2015","single-end","50bp","150M","adult"
"P3504_1009","P3504_1009","S149","N702","S517","L300","P2","m2","single","cell","5/12/2015","1-2/A1",1410014,"6/4/2015","single-end","50bp","150M","adult"
"P3504_1010","P3504_1010","S150","N702","S502","L302","P2","m2","single","cell","5/12/2015","1-2/C1",1410014,"6/4/2015","single-end","50bp","150M","adult"
"P3504_1011","P3504_1011","S151","N702","S503","L304","P2","m2","single","cell","5/12/2015","1-2/D1",1410014,"6/4/2015","single-end","50bp","150M","adult"
"P3504_1012","P3504_1012","S152","N702","S504","L985","P21","m1","single","cell","3/12/2015","3-2/F1",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P3504_1013","P3504_1013","S153","N702","S505","L986","P21","m1","single","cell","3/12/2015","3-2/G1",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P3504_1015","P3504_1015","S155","N702","S507","L988","P21","m1","single","cell","3/12/2015","3-2/A2",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P3504_1016","P3504_1016","S156","N702","S508","L992","P21","m1","single","cell","3/12/2015","3-2/E2",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P3504_1017","P3504_1017","S157","N703","S517","L993","P21","m1","single","cell","3/12/2015","3-2/F2",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P3504_1018","P3504_1018","S158","N703","S502","L415","E19.5","m1","single","cell","5/12/2015","1-2/D3",1410014,"6/22/2015","single-end","50bp","150M","adult"
"P3504_1019","P3504_1019","S159","N703","S503","L416","E19.5","m1","single","cell","5/12/2015","1-2/E3",1410014,"6/22/2015","single-end","50bp","150M","adult"
"P3504_1021","P3504_1021","S161","N703","S505","L470","P60","m1","single","cell","1/15/2015","1-1/C1",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1022","P3504_1022","S162","N703","S506","L471","P60","m1","single","cell","1/15/2015","1-1/D1",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1023","P3504_1023","S163","N703","S507","L1000","P21","m1","single","cell","3/12/2015","3-2/E3",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P3504_1024","P3504_1024","S164","N703","S508","L475","P60","m1","single","cell","1/15/2015","1-1/H1",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1025","P3504_1025","S165","N704","S517","L476","P60","m1","single","cell","1/15/2015","1-1/A2",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1026","P3504_1026","S166","N704","S502","L477","P60","m1","single","cell","1/15/2015","1-1/B2",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1027","P3504_1027","S167","N704","S503","L478","P60","m1","single","cell","1/15/2015","1-1/C2",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1028","P3504_1028","S168","N704","S504","L479","P60","m1","single","cell","1/15/2015","1-1/D2",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1029","P3504_1029","S169","N704","S505","L482","P60","m1","single","cell","1/15/2015","1-1/G2",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1030","P3504_1030","S170","N704","S506","L483","P60","m1","single","cell","1/15/2015","1-1/H2",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1031","P3504_1031","S171","N704","S507","L487","P60","m1","single","cell","1/15/2015","1-1/D3",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1032","P3504_1032","S172","N704","S508","L489","P60","m1","single","cell","1/15/2015","1-1/F3",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1033","P3504_1033","S173","N705","S517","L491","P60","m1","single","cell","1/15/2015","1-1/H3",1310010,"6/25/2015","single-end","50bp","150M","adult"
"P3504_1035","P3504_1035","S175","N705","S503","L527","P21","m1","single","cell","3/12/2015","1-3/D2",1410014,"7/27/2015","single-end","50bp","150M","adult"
"P3504_1047","P3504_1047","S187","N706","S507","L572","E19.5","m1","single","cell","6/23/2015","1-2/A1",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1048","P3504_1048","S188","N706","S508","L576","E19.5","m1","single","cell","6/23/2015","1-2/E1",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1049","P3504_1049","S189","N707","S517","L577","E19.5","m1","single","cell","6/23/2015","1-2/F1",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1050","P3504_1050","S190","N707","S502","L578","E19.5","m1","single","cell","6/23/2015","1-2/G1",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1052","P3504_1052","S192","N707","S504","L580","E19.5","m1","single","cell","6/23/2015","1-2/A2",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1053","P3504_1053","S193","N707","S505","L582","E19.5","m1","single","cell","6/23/2015","1-2/C2",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1054","P3504_1054","S194","N707","S506","L584","E19.5","m1","single","cell","6/23/2015","1-2/E2",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1055","P3504_1055","S195","N707","S507","L588","E19.5","m1","single","cell","6/23/2015","1-2/A3",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1056","P3504_1056","S196","N707","S508","L590","E19.5","m1","single","cell","6/23/2015","1-2/C3",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1057","P3504_1057","S197","N708","S517","L592","E19.5","m1","single","cell","6/23/2015","1-2/E3",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1058","P3504_1058","S198","N708","S502","L594","E19.5","m1","single","cell","6/23/2015","1-2/G3",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1059","P3504_1059","S199","N708","S503","L596","P2","m1","single","cell","2/5/2015","1-3/A1",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1060","P3504_1060","S200","N708","S504","L602","P2","m1","single","cell","2/5/2015","1-3/G1",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1061","P3504_1061","S201","N708","S505","L604","P2","m1","single","cell","2/5/2015","1-3/A2",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1062","P3504_1062","S202","N708","S506","L611","P2","m1","single","cell","2/5/2015","1-3/H2",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1063","P3504_1063","S203","N708","S507","L612","P2","m1","single","cell","2/5/2015","1-3/A3",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1065","P3504_1065","S205","N709","S517","L617","P2","m1","single","cell","2/5/2015","1-3/F3",1410014,"9/7/2015","single-end","50bp","150M","adult"
"P3504_1069","P3504_1069","S209","N709","S505","L631","P2","m2","single","cell","2/5/2015","1-1/D2",1410014,"9/28/2015","single-end","50bp","150M","adult"
"P3504_1070","P3504_1070","S210","N709","S506","L632","P2","m2","single","cell","2/5/2015","1-1/E2",1410014,"9/28/2015","single-end","50bp","150M","adult"
"P3504_1072","P3504_1072","S212","N709","S508","L933","E19.5","m2","single","cell","6/23/2015","2-1/B1",1410014,"11/9/2015","single-end","50bp","150M","adult"
"P3504_1073","P3504_1073","S213","N710","S517","L935","E19.5","m2","single","cell","6/23/2015","2-1/D1",1410014,"11/9/2015","single-end","50bp","150M","adult"
"P3504_1074","P3504_1074","S214","N710","S502","L650","P21","m1","single","cell","3/12/2015","2-3/G1",1410014,"9/28/2015","single-end","50bp","150M","adult"
"P3504_1075","P3504_1075","S215","N710","S503","L661","P21","m1","single","cell","3/12/2015","2-3/B3",1410014,"9/28/2015","single-end","50bp","150M","adult"
"P3504_1076","P3504_1076","S216","N710","S504","L662","P21","m1","single","cell","3/12/2015","2-3/C3",1410014,"9/28/2015","single-end","50bp","150M","adult"
"P3504_1077","P3504_1077","S217","N710","S505","L664","P21","m1","single","cell","3/12/2015","2-3/E3",1410014,"9/28/2015","single-end","50bp","150M","adult"
"P3504_1078","P3504_1078","S218","N710","S506","L670","P2","m2","single","cell","2/5/2015","1-2/C1",1410014,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1079","P3504_1079","S219","N710","S507","L672","P2","m2","single","cell","2/5/2015","1-2/E1",1410014,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1080","P3504_1080","S220","N710","S508","L675","P2","m2","single","cell","2/5/2015","1-2/H1",1410014,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1081","P3504_1081","S221","N711","S517","L936","E19.5","m2","single","cell","6/23/2015","2-1/E1",1410014,"11/9/2015","single-end","50bp","150M","adult"
"P3504_1083","P3504_1083","S223","N711","S503","L684","P2","m2","single","cell","2/5/2015","1-2/A3",1410014,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1084","P3504_1084","S224","N711","S504","L685","P2","m2","single","cell","2/5/2015","1-2/B3",1410014,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1085","P3504_1085","S225","N711","S505","L691","P2","m2","single","cell","2/5/2015","1-2/H3",1410014,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1086","P3504_1086","S226","N711","S506","L693","P21","m1","single","cell","1/15/2015","1-4/B1",1310010,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1087","P3504_1087","S227","N711","S507","L694","P21","m1","single","cell","1/15/2015","1-4/C1",1310010,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1088","P3504_1088","S228","N711","S508","L695","P21","m1","single","cell","1/15/2015","1-4/D1",1310010,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1090","P3504_1090","S230","N712","S502","L699","P21","m1","single","cell","1/15/2015","1-4/H1",1310010,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1091","P3504_1091","S231","N712","S503","L702","P21","m1","single","cell","1/15/2015","1-4/C2",1310010,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1092","P3504_1092","S232","N712","S504","L708","P21","m1","single","cell","1/15/2015","1-4/A3",1310010,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1093","P3504_1093","S233","N712","S505","L709","P21","m1","single","cell","1/15/2015","1-4/B3",1310010,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1094","P3504_1094","S234","N712","S506","L998","P21","m1","single","cell","3/12/2015","3-2/C3",1410014,"10/1/2015","single-end","50bp","150M","adult"
"P3504_1095","P3504_1095","S235","N712","S507","L719","P21","m1","single","cell","1/15/2015","2-2/D1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1096","P3504_1096","S236","N712","S508","L720","P21","m1","single","cell","1/15/2015","2-2/E1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1097","P3504_1097","S237","N701","S517","L721","P21","m1","single","cell","1/15/2015","2-2/F1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1098","P3504_1098","S238","N701","S502","L722","P21","m1","single","cell","1/15/2015","2-2/G1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1099","P3504_1099","S239","N701","S503","L723","P21","m1","single","cell","1/15/2015","2-2/H1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1100","P3504_1100","S240","N701","S504","L725","P21","m1","single","cell","1/15/2015","2-2/B2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1101","P3504_1101","S241","N701","S505","L726","P21","m1","single","cell","1/15/2015","2-2/C2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1102","P3504_1102","S242","N701","S506","L728","P21","m1","single","cell","1/15/2015","2-2/E2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1103","P3504_1103","S243","N701","S507","L729","P21","m1","single","cell","1/15/2015","2-2/F2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1104","P3504_1104","S244","N701","S508","L730","P21","m1","single","cell","1/15/2015","2-2/G2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1105","P3504_1105","S245","N702","S517","L732","P21","m1","single","cell","1/15/2015","2-2/A3",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1106","P3504_1106","S246","N702","S502","L735","P21","m1","single","cell","1/15/2015","2-2/D3",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1107","P3504_1107","S247","N702","S503","L743","P60","m1","single","cell","1/15/2015","2-1/D1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1108","P3504_1108","S248","N702","S504","L744","P60","m1","single","cell","1/15/2015","2-1/E1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1109","P3504_1109","S249","N702","S505","L745","P60","m1","single","cell","1/15/2015","2-1/F1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1110","P3504_1110","S250","N702","S506","L746","P60","m1","single","cell","1/15/2015","2-1/G1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1111","P3504_1111","S251","N702","S507","L747","P60","m1","single","cell","1/15/2015","2-1/H1",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1112","P3504_1112","S252","N702","S508","L751","P60","m1","single","cell","1/15/2015","2-1/D2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1113","P3504_1113","S253","N703","S517","L753","P60","m1","single","cell","1/15/2015","2-1/F2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1114","P3504_1114","S254","N703","S502","L754","P60","m1","single","cell","1/15/2015","2-1/G2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1115","P3504_1115","S255","N703","S503","L755","P60","m1","single","cell","1/15/2015","2-1/H2",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1116","P3504_1116","S256","N703","S504","L758","P60","m1","single","cell","1/15/2015","2-1/C3",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1117","P3504_1117","S257","N703","S505","L762","P60","m1","single","cell","1/15/2015","2-1/G3",1310010,"10/2/2015","single-end","50bp","150M","adult"
"P3504_1122","P3504_1122","S262","N704","S502","L813","P2","m2","single","cell","2/5/2015","1-3/B1",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1123","P3504_1123","S263","N704","S503","L814","P2","m2","single","cell","2/5/2015","1-3/C1",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1124","P3504_1124","S264","N704","S504","L815","P2","m2","single","cell","2/5/2015","1-3/D1",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1125","P3504_1125","S265","N704","S505","L818","P2","m2","single","cell","2/5/2015","1-3/G1",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1126","P3504_1126","S266","N704","S506","L820","P2","m2","single","cell","2/5/2015","1-3/A2",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1127","P3504_1127","S267","N704","S507","L822","P2","m2","single","cell","2/5/2015","1-3/C2",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1128","P3504_1128","S268","N704","S508","L823","P2","m2","single","cell","2/5/2015","1-3/D2",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1129","P3504_1129","S269","N705","S517","L827","P2","m2","single","cell","2/5/2015","1-3/H2",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1130","P3504_1130","S270","N705","S502","L828","P2","m2","single","cell","2/5/2015","1-3/A3",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1131","P3504_1131","S271","N705","S503","L829","P2","m2","single","cell","2/5/2015","1-3/B3",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1134","P3504_1134","S274","N705","S506","L836","P60","m1","single","cell","2/5/2015","1-1/A1",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1135","P3504_1135","S275","N705","S507","L838","P60","m1","single","cell","2/5/2015","1-1/C1",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1136","P3504_1136","S276","N705","S508","L842","P60","m1","single","cell","2/5/2015","1-1/G1",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1137","P3504_1137","S277","N706","S517","L844","P60","m1","single","cell","2/5/2015","1-1/A2",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1138","P3504_1138","S278","N706","S502","L846","P60","m1","single","cell","2/5/2015","1-1/C2",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1139","P3504_1139","S279","N706","S503","L847","P60","m1","single","cell","2/5/2015","1-1/D2",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1140","P3504_1140","S280","N706","S504","L850","P60","m1","single","cell","2/5/2015","1-1/G2",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1141","P3504_1141","S281","N706","S505","L852","P60","m1","single","cell","2/5/2015","1-1/A3",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1142","P3504_1142","S282","N706","S506","L853","P60","m1","single","cell","2/5/2015","1-1/B3",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1143","P3504_1143","S283","N706","S507","L856","P60","m1","single","cell","2/5/2015","1-1/E3",1410014,"10/10/2015","single-end","50bp","150M","adult"
"P3504_1144","P3504_1144","S284","N706","S508","L862","P2","m2","single","cell","5/12/2015","1-3/C1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1145","P3504_1145","S285","N707","S517","L865","P2","m2","single","cell","5/12/2015","1-3/F1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1146","P3504_1146","S286","N707","S502","L866","P2","m2","single","cell","5/12/2015","1-3/G1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1148","P3504_1148","S288","N707","S504","L868","P2","m2","single","cell","5/12/2015","1-3/A2",1410014,"10/26/2015","single-end","50bp","150M","adult"
