"","Sample","Prep_library","N_primer","S_primer","Library","Stage","Individual","Sample.1","Type","Sorting_date","Plate","ERCC","Library_date","Seq_type","Bases","Reads","groups"
"P7657_1047","P7657_1047","S427","N706","S507","L1308","P60","m1","single","cell","1/15/2015","2-3/A1",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1048","P7657_1048","S428","N706","S508","L1309","P60","m1","single","cell","1/15/2015","2-3/B1",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1049","P7657_1049","S429","N707","S517","L1310","P60","m1","single","cell","1/15/2015","2-3/C1",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1050","P7657_1050","S430","N707","S502","L1311","P60","m1","single","cell","1/15/2015","2-3/D1",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1051","P7657_1051","S431","N707","S503","L1314","P60","m1","single","cell","1/15/2015","2-3/G1",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1052","P7657_1052","S432","N707","S504","L1316","P60","m1","single","cell","1/15/2015","2-3/A2",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1053","P7657_1053","S433","N707","S505","L1318","P60","m1","single","cell","1/15/2015","2-3/C2",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1054","P7657_1054","S434","N707","S506","L1319","P60","m1","single","cell","1/15/2015","2-3/D2",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1055","P7657_1055","S435","N707","S507","L1320","P60","m1","single","cell","1/15/2015","2-3/E2",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1056","P7657_1056","S436","N707","S508","L1321","P60","m1","single","cell","1/15/2015","2-3/F2",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1057","P7657_1057","S437","N708","S517","L1322","P60","m1","single","cell","1/15/2015","2-3/G2",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1058","P7657_1058","S438","N708","S502","L1323","P60","m1","single","cell","1/15/2015","2-3/H2",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1059","P7657_1059","S439","N708","S503","L1325","P60","m1","single","cell","1/15/2015","2-3/B3",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1060","P7657_1060","S440","N708","S504","L1326","P60","m1","single","cell","1/15/2015","2-3/C3",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1061","P7657_1061","S441","N708","S505","L1327","P60","m1","single","cell","1/15/2015","2-3/D3",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1062","P7657_1062","S442","N708","S506","L1331","P60","m1","single","cell","1/15/2015","2-3/H3",1310010,"11/10/2016","single-end","50bp","150M","adult"
"P7657_1063","P7657_1063","S443","N708","S507","L1332","P21","m1","single","cell","3/12/2015","3-1/A1",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1064","P7657_1064","S444","N708","S508","L1333","P21","m1","single","cell","3/12/2015","3-1/B1",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1065","P7657_1065","S445","N709","S517","L1334","P21","m1","single","cell","3/12/2015","3-1/C1",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1066","P7657_1066","S446","N709","S502","L1335","P21","m1","single","cell","3/12/2015","3-1/D1",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1068","P7657_1068","S448","N709","S504","L1339","P21","m1","single","cell","3/12/2015","3-1/H1",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1069","P7657_1069","S449","N709","S505","L1345","P21","m1","single","cell","3/12/2015","3-1/F2",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1071","P7657_1071","S451","N709","S507","L1350","P21","m1","single","cell","3/12/2015","3-1/C3",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1072","P7657_1072","S452","N709","S508","L1351","P21","m1","single","cell","3/12/2015","3-1/D3",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1073","P7657_1073","S453","N710","S517","L1352","P21","m1","single","cell","3/12/2015","3-1/E3",1410014,"11/15/2016","single-end","50bp","150M","adult"
